Code,Definition
1015,Manual idle stop
1008,Remote stop - Siemens
8207,Visibilitymeter sensor error
13309,Inv.(tow) coolwater pres. war
64070,General beacon error
2200,Gen. bear. lub. not possible
1007,Remote stop - Owner
8186,Primary anemometer failure
10200,Yaw lubrication not possible
1001,Manual stop
8184,Many Anemometer activations
64114,"AviLight, Lamp  failure"
12109,TOR transfor. ventilation
4112,Gearoil level too low
8000,Windspeed too high to operate
8171,Sec. Anemometer forced active
1005,Availability - low wind
3116,"No lubrication, blade B"
3117,"No lubrication, blade C"
13320,T.O.R Converter fan  (Tower)
12111,Transfor. oil temperature high
13294,Converter cooling dryer mode
3188,Accumulator A check  pres low
10104,Yaw position sensor error
15038,GrdInv   D volt high
3200,Hub lubrication not possible
1020,Turbine in local operation
3118,"Grease level low, hub"
14139,GenInv   U-phase sharing
13302,Inv. cooling water temp. warn.
13167,Inverter modbus com. error
64000,"No lubrication, main bearing"
1023,
3195,Edge Freq error on blade C
7100,Pitchhydraulics superheated
3190,Accumulator C check  pres low
10125,Too many yaw conv. warnings
63038,Smoke in the A box
1013,Other hours counter active
8161,Pri.Wind vane blocked
2122,"No lubrication, gen. bearings"
13104,DC voltage low
3193,Edge Freq error on blade A
1017,Remote stop Service
13900,
63300,MC  +V_sensor voltage drop
13303,Inv. cool. w. temp high
5113,Gridvolt.<lower limit
4301,Inline filter warning
1112,Tower vent. TOR
10105,"Stopped, untwisting cables"
15001,GrdInv   interlock
9303,Brakepressure too low
3149,Hub  MTS-sens C noise Error
8189,Secondary wind vane failure
9306,Brake acc. pressure too low
5131,Too many FRT activations
13311,Inv.(tow) coolwater pres. low
15147,GrdInv  Download in progr.
13317,T.O.R Converter coolant pump
7106,"Pitch pump. time too long,stop"
3130,Pitch lubrication
3194,Edge Freq error on blade B
3189,Accumulator B check  pres low
13101,Generator inverter tripped
3148,Hub MTS-sens B noise Error
13122,Grd. Inv. Communication error
3215,
3122,Hub pressureswitch error
63027,Smoke in the A box
7111,Hyd. for crane/cover activated
12110,Transfor. oil tempera. warning
3207,
1025,
63105,Temp. in A (right) too high
3133,Pitch C range error
4307,Inline (aft) press. sens.error
9304,Brake pressure too high
10128,Too many yaw conv. errors
13135,"Fuse blown, Grid filter"
13315,Inv. Tow coolw. pres. sens err
3208,
7101,Hyd oil level error
1003,Emergency switch activated
14111,GenInv   CAN warnings
3205,
10100,Yaw motor(s) superheated
1142,"Blade vibration, waiting"
3128,Pitch C tracking during stop
13314,T.O.R Converter coolant heater
3127,Pitch B tracking during stop
15000,GrdInv  Error is not defined
3203,
1022,
12115,Transfor. oil temp. sensor err
3204,
1024,
3407,"Bad pitch calibration, blade C"
3115,"No lubrication, blade A"
63208,CAN GM Communication error
3187,Pitch pos. C measurement error
63000,UPS-failure
63025,Smoke in the A box
15111,GrdInv   CAN warnings
15241,GrdInv   Delta  DIB +v
63309,Hub module powerdown detected
10108,Yaw system failure
8232,
3173,"Low oil pressure, blade C"
14006,GenInv   overtemperature
3140,Valve supplyvoltage too low
2117,Gen. bearing (DE) temp. error
1011,Nacelle emergency contact. err
5112,Gridvolt.<lower limit
3405,"Bad pitch calibration, blade A"
3406,"Bad pitch calibration, blade B"
13319,T.O.R Converter fan  (Tower)
4300,Offlinefilter motor superheatd
14001,GenInv   interlock
63001,UPS battery failure
63412,
5122,FRT detected by grid module
1018,Stopped due to power up delay
64054,MV-breaker SF- pressure error
13172,Grid filter RES temp. error
4200,Gearoilpump/blower superheated
4109,IMS-ROT gearbear. temp warning
13106,Mainbreaker cut out
13166,Missing MCBR close permit
15133,GrdInv   SFE mains freq.
63003,Stop for powerdown
13100,Grid inverter tripped
3206,
15006,GrdInv   overtemperature
63205,CAN IO- Communication error
1014,Stopped for SW update
3144,Hub  No feedback MTS-sens A
3146,Hub  No feedback MTS-sens C
13000,Converter parameter write warn
63124,Temperature in A too high
4110,IMS-ROT gearb. temp. too high
1106,Startup failed
64032,Main bear. lub. not possible
13902,
8188,Secondary anemometer failure
15143,GrdInv   Ethernet ch. loss
6102,LMU sensor error
3404,Hub fan supply disconnected
15149,GrdInv   DSP run inhibit
10118,Yaw converter error
8187,Primary wind vane failure
63303,IO module  powerdown detected
4306,Inline (bef) press. sens.error
14207,GenInv   U-ph sharing fail
63250,Turbine Serial Number invalid
6300,Speed set point in RSA window
13115,Mainreactor temp. warnnig
3185,Pitch pos. A measurement error
63403,GS module SW ver. Conflict
64116,"AviLight, Fuse defect"
8173,Sec. Vane forced active
15227,GrdInv   DSP ac overvoltage
14038,GenInv   D volt high
3105,Hub  Blade C valve error
1021,Manual stop owner
1012,Yaw limit sensor activated
63402,HM module SW ver. Conflict
3125,Pitch C tracking during opera.
